Position,Service_received_time,waiting_time,Service_time,Branches,Weekdays,Shift
1,2,1,1,1,1,1
2,3,2,1,1,1,1
3,4,3,1,1,1,1
4,5,4,1,1,1,1
5,6,5,1,1,1,2
6,7,6,1,1,1,2
7,8,7,1,1,1,2
8,9,8,1,1,1,3
9,10,9,1,1,1,3
10,11,10,1,1,1,3
1,2.6,1.1,1.5,1,2,1
2,4.1,2.6,1.5,1,2,1
3,5.7,4.1,1.6,1,2,1
4,7.2,5.7,1.5,1,2,1
5,8.8,7.2,1.6,1,2,2
6,10.2,8.8,1.4,1,2,2
7,11.4,10.2,1.2,1,2,2
8,12.7,11.4,1.3,1,2,3
9,13.8,12.7,1.1,1,2,3
1,2.5,0.5,2,1,3,1
2,4.5,2.5,2,1,3,1
3,6.5,4.5,2,1,3,1
4,8.5,6.5,2,1,3,1
5,10.5,8.5,2,1,3,2
6,12.5,10.5,2,1,3,2
7,14.5,12.5,2,1,3,2
8,16.5,14.5,2,1,3,3
9,18.5,16.5,2,1,3,3
1,1.9,0.8,1.1,1,4,1
2,3.1,1.9,1.2,1,4,1
3,4.7,3.1,1.6,1,4,1
4,6.2,4.7,1.5,1,4,1
5,7.2,6.2,1,1,4,2
6,8.5,7.2,1.3,1,4,2
7,9.9,8.5,1.4,1,4,2
8,10.8,9.9,0.9,1,4,3
9,11.6,10.8,0.8,1,4,3
1,3.6,1,2.6,1,5,1
2,5.7,3.6,2.1,1,5,1
3,8.5,5.7,2.8,1,5,1
4,10.8,8.5,2.3,1,5,1
5,12.8,10.8,2,1,5,2
6,15.2,12.8,2.4,1,5,2
7,17.8,15.9,1.9,1,5,2
8,19.3,17.8,1.5,1,5,3
9,20.7,19.3,1.4,1,5,3
1,4.41,2.11,2.3,1,6,1
2,6.51,4.41,2.1,1,6,1
3,8.51,6.51,2,1,6,1
4,10.41,8.51,1.9,1,6,1
5,11.91,10.41,1.5,1,6,2
6,13.51,11.91,1.6,1,6,2
7,15.21,13.51,1.7,1,6,2
8,17.01,15.21,1.8,1,6,3
9,18.91,17.01,1.9,1,6,3
1,3.2,1.2,2,1,0,1
2,4.2,2.1,2.1,1,0,1
3,5.4,3.5,1.9,1,0,1
4,5.6,4.3,1.3,1,0,1
5,6.4,5.2,1.2,1,0,2
6,8.1,6.1,2,1,0,2
7,9.3,7.2,2.1,1,0,2
8,10.3,8.1,2.2,1,0,3
9,11.7,10.2,1.5,1,0,3
1,2.1,1.1,1,1,1,1
2,3.3,2.1,1.2,1,1,1
3,4,3,1,1,1,1
4,5.1,4,1.1,1,1,1
5,6.1,5.1,1,1,1,2
6,7.4,6.1,1.3,1,1,2
7,8.4,7.4,1,1,1,2
8,9.4,8.4,1,1,1,3
9,10.4,9.4,1,1,1,3
1,2.6,1.1,1.5,1,2,1
2,3.8,2.6,1.2,1,2,1
3,4.8,3.8,1,1,2,1
4,6,4.8,1.2,1,2,1
5,7.5,6,1.5,1,2,2
6,8.8,7.5,1.3,1,2,2
7,10.5,8.8,1.7,1,2,2
8,11.6,10.5,1.1,1,2,3
9,12.6,11.6,1,1,2,3
1,2.9,0.9,2,1,3,1
2,5.2,2.9,2.3,1,3,1
3,7.1,5.2,1.9,1,3,1
4,10.1,7.1,3,1,3,1
5,12.4,10.1,2.3,1,3,2
6,14.5,12.4,2.1,1,3,2
7,16.2,14.5,1.7,1,3,2
8,18.2,16.2,2,1,3,3
9,20.3,18.2,2.1,1,3,3
1,2.1,1,1.1,1,4,1
2,3.3,2.1,1.2,1,4,1
3,4.9,3.3,1.6,1,4,1
4,6.4,4.9,1.5,1,4,1
5,7.4,6.4,1,1,4,2
6,8.7,7.4,1.3,1,4,2
7,10.1,8.7,1.4,1,4,2
8,11,10.1,0.9,1,4,3
9,11.8,11,0.8,1,4,3
10,12.8,11.8,1,1,4,3
1,3.2,1.1,2.1,1,5,1
2,5.4,3.2,2.2,1,5,1
3,7.9,5.4,2.5,1,5,1
4,10,7.9,2.1,1,5,1
5,12,10,2,1,5,2
6,14.1,12,2.1,1,5,2
7,16,14.1,1.9,1,5,2
8,17.5,16,1.5,1,5,3
9,18.9,17.5,1.4,1,5,3
1,3.8,1.5,2.3,1,6,1
2,5.9,3.8,2.1,1,6,1
3,7.9,5.9,2,1,6,1
4,9.8,7.9,1.9,1,6,1
5,11.3,9.8,1.5,1,6,2
6,12.9,11.3,1.6,1,6,2
7,14.6,12.9,1.7,1,6,2
8,16.4,14.6,1.8,1,6,3
9,18.3,16.4,1.9,1,6,3
1,2.9,0.9,2,1,0,1
2,5,2.9,2.1,1,0,1
3,6.9,5,1.9,1,0,1
4,8.2,6.9,1.3,1,0,1
5,9.4,8.2,1.2,1,0,2
6,11.4,9.4,2,1,0,2
7,13.5,11.4,2.1,1,0,2
8,15.7,13.5,2.2,1,0,3
9,17.2,15.7,1.5,1,0,3
